match_id,league_name,match_time,home_team,away_team,final_score,bookmaker,init_win,init_draw,init_lose,final_win,final_draw,final_lose
1894643,德国甲组联赛,2020-12-12T22:30:00,多特蒙德,斯图加特,1月5日,Macauslot,1.43,4.55,5.35,1.43,4.55,5.35
1894643,德国甲组联赛,2020-12-12T22:30:00,多特蒙德,斯图加特,1月5日,William Hill,1.4,4.8,7.5,1.44,4.6,7
1894732,德国甲组联赛,2021-02-13T22:30:00,多特蒙德,霍芬海姆,2月2日,Bet 365,1.5,4.33,6,1.44,4.75,6.5
1894732,德国甲组联赛,2021-02-13T22:30:00,多特蒙德,霍芬海姆,2月2日,Easybets,1.5,4.8,5.9,1.44,4.9,6.9
1894732,德国甲组联赛,2021-02-13T22:30:00,多特蒙德,霍芬海姆,2月2日,Macauslot,1.45,4.3,5.4,1.38,4.6,6.05
1894732,德国甲组联赛,2021-02-13T22:30:00,多特蒙德,霍芬海姆,2月2日,William Hill,1.44,4.8,6.5,1.44,4.75,6.5
1903897,英格兰超级联赛,2020-12-06T04:00:00,切尔西,利兹联,3月1日,Bet 365,1.44,4.33,7,1.44,5,6
1903897,英格兰超级联赛,2020-12-06T04:00:00,切尔西,利兹联,3月1日,Lottery Official,1.41,4.2,5.2,1.32,4.7,5.9
1903897,英格兰超级联赛,2020-12-06T04:00:00,切尔西,利兹联,3月1日,Macauslot,1.45,3.88,6.2,1.42,4.1,6.25
1903897,英格兰超级联赛,2020-12-06T04:00:00,切尔西,利兹联,3月1日,William Hill,1.44,4.6,7,1.44,4.8,6.5
1903911,英格兰超级联赛,2020-12-14T03:15:00,阿森纳,伯恩利,0-1,Bet 365,1.5,4,7,1.4,4.75,8
1903911,英格兰超级联赛,2020-12-14T03:15:00,阿森纳,伯恩利,0-1,Macauslot,1.54,3.77,5.3,1.4,4.3,6.3
1903911,英格兰超级联赛,2020-12-14T03:15:00,阿森纳,伯恩利,0-1,William Hill,1.4,4.6,8,1.44,4.4,8
1903976,英格兰超级联赛,2021-01-19T04:00:00,阿森纳,纽卡斯尔联,3-0,Bet 365,1.57,4,5.5,1.4,4.75,8
1903976,英格兰超级联赛,2021-01-19T04:00:00,阿森纳,纽卡斯尔联,3-0,Easybets,1.46,4.6,7.2,1.41,4.8,8.1
1903976,英格兰超级联赛,2021-01-19T04:00:00,阿森纳,纽卡斯尔联,3-0,Macauslot,1.41,4.3,6.1,1.41,4.3,6.1
1903976,英格兰超级联赛,2021-01-19T04:00:00,阿森纳,纽卡斯尔联,3-0,William Hill,1.5,4.2,7,1.44,4.5,7.5
1904004,英格兰超级联赛,2021-02-04T04:15:00,利物浦,布莱顿,0-1,Bet 365,1.36,5,8,1.44,4.75,6.5
1904004,英格兰超级联赛,2021-02-04T04:15:00,利物浦,布莱顿,0-1,Easybets,1.35,5,7.3,1.52,4.7,5.9
1904004,英格兰超级联赛,2021-02-04T04:15:00,利物浦,布莱顿,0-1,Lottery Official,1.29,4.45,7.15,1.29,4.45,7.15
1904004,英格兰超级联赛,2021-02-04T04:15:00,利物浦,布莱顿,0-1,Macauslot,1.31,4.9,7.3,1.38,4.65,6.1
1904004,英格兰超级联赛,2021-02-04T04:15:00,利物浦,布莱顿,0-1,William Hill,1.3,5,12,1.44,4.8,6.5
1904069,英格兰超级联赛,2021-04-10T22:00:00,利物浦,阿斯顿维拉,2月1日,Bet 365,1.36,4.75,8,1.45,4.75,6.5
1904069,英格兰超级联赛,2021-04-10T22:00:00,利物浦,阿斯顿维拉,2月1日,Easybets,1.47,4.8,6.4,1.44,4.8,7.3
1904069,英格兰超级联赛,2021-04-10T22:00:00,利物浦,阿斯顿维拉,2月1日,Macauslot,1.38,4.55,6.1,1.42,4.3,5.8
1904069,英格兰超级联赛,2021-04-10T22:00:00,利物浦,阿斯顿维拉,2月1日,William Hill,1.4,4.6,8.5,1.44,4.5,7
1904092,英格兰超级联赛,2021-04-27T03:00:00,莱斯特城,水晶宫,2月1日,Bet 365,1.5,3.8,7.5,1.4,4.75,8
1904092,英格兰超级联赛,2021-04-27T03:00:00,莱斯特城,水晶宫,2月1日,Easybets,1.46,4.3,8.2,1.43,4.6,8
1904092,英格兰超级联赛,2021-04-27T03:00:00,莱斯特城,水晶宫,2月1日,Lottery Official,1.34,4,6.55,1.26,4.45,7.6
1904092,英格兰超级联赛,2021-04-27T03:00:00,莱斯特城,水晶宫,2月1日,Macauslot,1.41,4.1,6.6,1.34,4.3,8
1904092,英格兰超级联赛,2021-04-27T03:00:00,莱斯特城,水晶宫,2月1日,William Hill,1.5,4,7.5,1.44,4.5,7.5
1904101,英格兰超级联赛,2021-05-02T00:30:00,切尔西,富勒姆,2-0,Bet 365,1.36,4.2,10,1.44,4.2,8
1904101,英格兰超级联赛,2021-05-02T00:30:00,切尔西,富勒姆,2-0,Easybets,1.47,4.3,7.8,1.49,4.2,7.4
1904101,英格兰超级联赛,2021-05-02T00:30:00,切尔西,富勒姆,2-0,Lottery Official,1.32,3.9,7.45,1.31,3.95,7.5
1904101,英格兰超级联赛,2021-05-02T00:30:00,切尔西,富勒姆,2-0,Macauslot,1.4,4,7.1,1.38,4.2,7
1904101,英格兰超级联赛,2021-05-02T00:30:00,切尔西,富勒姆,2-0,William Hill,1.4,4.4,9,1.44,4,8.5
1904110,英格兰超级联赛,2021-05-10T02:00:00,阿森纳,西布罗姆维奇,3月1日,Bet 365,1.5,4.33,6,1.44,4.5,6.5
1904110,英格兰超级联赛,2021-05-10T02:00:00,阿森纳,西布罗姆维奇,3月1日,Easybets,1.49,4.6,6.5,1.5,4.5,6.7
